M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
100000000.0,181818181.8181818,0.11860987299995529,4.692791622106946,-0.07697823764348932
122633068.41775644,222969215.3050117,0.12695701590313577,4.61925324247842,-0.07785043083214527
150388694.6955407,273433990.35552853,0.13589158709439916,4.546058200319919,-0.07872849609214594
184426270.8585533,335320492.4700969,0.145454926706249,4.47321617837279,-0.07962012358990034
226167594.92228645,411213808.9496117,0.1556912841736342,4.400733771435276,-0.08052629110889731
277356261.41984177,504284111.6724395,0.16664802297544962,4.328619434374552,-0.08144706683406122
340130493.8279246,618419079.6871356,0.17837583978467156,4.256880303405938,-0.08238373931221687
417112461.20565164,758386293.1011847,0.1909289990411362,4.185523213962222,-0.08333683596141661
511517809.92931455,930032381.6896627,0.20436558403232133,4.1145551278033645,-0.08430685873902855
627289985.8196256,1140527246.9447737,0.21874776564388387,4.043982792841566,-0.08529452130142134
769264957.487913,1398663559.0689325,0.23414209002345374,3.973812766698508,-0.08630050642248843
943373221.6299773,1715224039.3272314,0.2506197864887038,3.9040515033399923,-0.08732545750546938
1156887528.3162832,2103431869.6659694,0.2682570971043773,3.8347053834678335,-0.08837002195587562
1418726674.116599,2579503043.848362,0.2871356294532269,3.7657807246371187,-0.08943485514088279
1739828052.9303622,3163323732.6006584,0.3073427342331268,3.697283803753306,-0.09052059620139019
2133604526.501411,3879280957.2752924,0.3289719094274979,3.6292209022634996,-0.09162790378312913
2616504698.7488236,4757281270.452406,0.3521232329191309,3.5615982721145714,-0.09275747139055879
3208699997.370444,5833999995.218988,0.3769038255491132,3.494422158454005,-0.09390997176517502
3934927263.095845,7154413205.628809,0.40342834676342265,3.4276988476529198,-0.09508608973085808
4825522042.741279,8773676441.347778,0.43181952514053307,3.361434639505671,-0.09628654160841377
5917685748.18883,10759428633.0706,0.4622087262547854,3.295635867092943,-0.09751204638317734
7257039612.324202,13194617476.953093,0.4947365605030111,3.2303089102742346,-0.09876333887298294
8899530352.885223,16180964277.973131,0.5295535337068201,3.1654601960817605,-0.10004117462415119
10913767146.51274,19843212993.659523,0.5668207435008707,3.1010962054353635,-0.10134632473151273
13383887531.73759,24334340966.795616,0.6067106247293126,3.0372234804123597,-0.10267958578941183
16413071953.751266,29841949006.82048,0.6494077472993307,2.973848618304969,-0.1040417688512778
20127853758.499386,36596097742.72615,0.6951096701834576,2.910978292560072,-0.10543370626800952
24683404670.686512,44878917583.06638,0.7440278555220945,2.848619238443282,-0.10685626432609308
30270016537.634556,55036393704.7901,0.7963886470557981,2.7867782588010335,-0.10831032547015917
37121050090.663574,67492818346.66104,0.8524343174145196,2.7254622316040855,-0.10979679196869574
45522682755.0731,82768514100.1329,0.9124241891095749,2.664678110629431,-0.11131659467578059
55825862688.62701,101501568524.77637,0.9766358344151816,2.6044329228387215,-0.11287069623934043
68460968385.74672,124474487974.08493,1.045366359691383,2.5447337660982376,-0.11446008809923347
83955786199.95103,152646883999.91095,1.1189337800909027,2.4855878103475884,-0.11608578317419393
102957556731.25127,187195557693.1841,1.1976784910106946,2.4270023027690995,-0.11774881583520047
126260010987.48578,229563656340.8832,1.2819648430965416,2.368984568003863,-0.11945025152766942
154836525658.5496,281520955742.81744,1.3721828280882633,2.3115420029245963,-0.12119119220979813
189880782446.52612,345237786266.41113,1.468749883305896,2.2546820717149605,-0.12297277921755478
232856629849.81964,423375690636.0357,1.5721128231261638,2.19841229864324,-0.12479617905408857
285559230199.01117,519198600361.83844,1.682749906386185,2.1427402762605374,-0.1266625832156214
350190046143.172,636709174805.7672,1.8011730492802374,2.087673657334248,-0.1285732179597554
