M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
100000000.0,147470874.50228578,0.09620325932749654,5.493651475140079,-0.0796519269073368
122633068.41775644,180848058.42465186,0.10297354187689822,5.404588924098395,-0.08056993315436145
150388694.6955407,221779523.22008654,0.11022028152473021,5.315974483943082,-0.0814965056101542
184426270.8585533,271975034.4470628,0.11797700883120034,5.22781545302427,-0.08243902845753404
226167594.92228645,333531330.07268316,0.1262796140620835,5.140122149150603,-0.08339738748676995
277356261.41984177,409019704.20268655,0.13516651325246615,5.052903035902126,-0.08437209381396782
340130493.8279246,501593413.69698364,0.14467882595718826,4.966168181073022,-0.08536431875178785
417112461.20565164,615119394.1979821,0.15486056551043342,4.8799245842852645,-0.08637468529950576
511517809.92931455,754339787.5377002,0.1657588426747924,4.794181997324627,-0.08740332156924602
627289985.8196256,925070027.7534664,0.17742408362208545,4.70894821121374,-0.08845168882636578
769264957.487913,1134441760.0470624,0.18991026325453408,4.624231139598104,-0.08952014090203475
943373221.6299773,1391200739.7581143,0.20327515494585915,4.540039018681846,-0.09060922180939546
1156887528.3162832,1706072155.015902,0.21758059785784914,4.456379866627306,-0.09171973582910908
1418726674.116599,2092208633.116943,0.23289278306927416,4.373261581660772,-0.09285241084479345
1739828052.9303622,2565739644.492497,0.24928255984105555,4.290692052283712,-0.09400793368967664
2133604526.501411,3146445253.6519847,0.26682576343477926,4.208679176182763,-0.09518700906363575
2616504698.7488236,3858582360.6382885,0.28560356600135967,4.127230858105042,-0.09639036743505436
3208699997.370444,4731897946.277015,0.30570285216341586,4.0463550156537025,-0.09761873092703732
3934927263.095845,5802871645.916303,0.32721662102917337,3.9660596342599166,-0.09887282353564686
4825522042.741279,7116239555.731129,0.3502444164979991,3.8863527526688224,-0.10015344132121262
5917685748.18883,8726862923.151201,0.3748927878485946,3.807242404405969,-0.10146136231546832
7257039612.324202,10702019779.271791,0.40127578274097647,3.7287367497195976,-0.102797372117303
8899530352.885223,13124215237.996199,0.42951547491336245,3.650843975503446,-0.10416230674441218
10913767146.51274,16094627852.1055,0.45974252901560086,3.5735723576454155,-0.10555699479619118
13383887531.73759,19737335985.45582,0.4920968051926293,3.496930252345857,-0.10698229835096118
16413071953.751266,24204500742.8864,0.5267280062153545,3.4209260944017013,-0.10843910479060614
20127853758.499386,29682721956.20024,0.5637963701532248,3.3455684018306675,-0.10992832024726207
24683404670.686512,36400832724.79945,0.6034734117934699,3.27086578332216,-0.11145087748047633
30270016537.634556,44639458100.03621,0.6459427162375593,3.1968269315667124,-0.11300773219356763
37121050090.663574,54742737193.133125,0.6914007883468306,3.1234606352674175,-0.11459987064623567
45522682755.0731,67132698355.80754,0.7400579619676539,3.0507757627426253,-0.11622830626797231
55825862688.62701,82326887905.36353,0.7921393731431204,2.9787812779053393,-0.11789406967288407
68460968385.74672,100959988771.19409,0.8478860018142761,2.9074862361475398,-0.11959822537300369
83955786199.95103,123810332104.33716,0.9075557868308458,2.83689977828845,-0.12134187730151869
102957556731.25127,151832409277.76324,0.9714248194305884,2.767031120666623,-0.12312616175920565
126260010987.48578,186196742349.9274,1.0397886207094793,2.697889557947214,-0.12495223576771552
154836525658.5496,228338778437.6192,1.1129635089935774,2.62948446576708,-0.1268212807521385
189880782446.52612,280018850385.67487,1.191288063439379,2.561825297300431,-0.1287345102279458
232856629849.81964,343395708376.07965,1.2751246906347,2.494921575993664,-0.13069317381134393
285559230199.01117,421116693996.4772,1.3648613014487565,2.4287828872009203,-0.13269855730795044
350190046143.172,516428323467.2939,1.4609131058901792,2.3634188703779104,-0.13475196414773105
429448798878.92725,633311899246.3165,1.5637245342777548,2.2988392275064147,-0.13685471992722187
526646239348.4281,776649814700.5281,1.6737712936131324,2.2350537078347616,-0.1390081820076876
645842443019.6991,952429498628.077,1.7915625686702716,2.172072104021831,-0.14121374138283094
792016405019.254,1167993518683.4597,1.9176433779860795,2.1099042337839276,-0.14347283591692905
971274019847.1168,1432346290882.048,2.052597095653357,2.0485599228859006,-0.14578691687966439
1191103133283.008,1756530206876.5786,2.197048150584326,1.988049014066392,-0.14815744427536837
1460686320364.9858,2154086890377.5044,2.3516649157342417,1.9283813494362947,-0.15058590259535753
1791284454622.0022,2641622850054.5674,2.517162800653459,1.8695667609370867,-0.1530737939689819
2196707090793.235,3239503157046.505,2.694307561677125,1.811615054629354,-0.15562266094933652
2693889309590.164,3972702122976.204,2.883918845068743,1.754535980247317,-0.15823406037327703
3303599120128.346,4871846512503.091,3.0868739795116706,1.698339231882055,-0.1609095394734703
4051304969235.378,5974494866885.972,3.3041120354962894,1.6430344296075796,-0.16365066360970193
4968239594734.388,7326706377723.621,3.536638170385723,1.588631093612697,-0.16645900625707655
6092704661368.687,8984964844961.932,3.785528279264463,1.5351386277837622,-0.16933616786247752
7471670675868.066,11018538085633.484,4.0519339730894846,1.482566277496397,-0.17228376216648567
9162739011886.73,13512371349191.46,4.337087907177606,1.4309231176720667,-0.1753033578915577
11236548001387.516,16570635601515.285,4.6423094846839,1.380218040182878,-0.17839651072678842
13779723598335.54,20321078894463.26,4.969010961461137,1.3304597134616751,-0.18156476133484578
16898497868124.621,24920362583873.5,5.3187039805473555,1.2816565634401949,-0.18480964278658418
20723146452190.297,30560605297434.44,5.693006566516396,1.2338167239082476,-0.18813269524072795
25413430367026.39,37477408003283.27,6.093650612054454,1.1869480043826153,-0.1915353749842883
31165269449294.367,45959695397868.11,6.522489891402564,1.141057880769555,-0.1950190691550177
38218926206331.15,56361784701859.82,6.981508637743409,1.0961534453369612,-0.19858511219857689
46869041923141.92,69118185994900.336,7.472830724219762,1.0522413794029573,-0.20223477468914103
57476944248353.586,84761752320238.28,7.998729491064943,1.0093279022863724,-0.20596931512803301
70485740364518.89,103945937714966.66,8.56163826431544,0.9674187160135176,-0.20978988048261132
86438826205982.61,127472092915473.53,9.164161614775532,0.9265189914052433,-0.21369747727693486
106002584880688.25,156322938918578.75,9.80908740932892,0.8866333157514891,-0.21769301710752842
129994222441324.22,191703616636667.47,10.499399710358752,0.8477656512662416,-0.2217772805154537
159415903745600.28,235092027349358.9,11.238292582961451,0.8099192909205115,-0.22595099588291717
195496614309125.94,288300566744028.8,12.029184873839851,0.7730967859257939,-0.23021477592885198
239743496780107.84,353551831263984.44,12.87573603025797,0.7372999221183917,-0.23456902739326957
294004806433471.4,433571459126192.8,13.781863032250746,0.702529673957495,-0.23901405897408579
360547115425049.9,531701984110086.8,14.751758516434414,0.6687861431240703,-0.2435500419806852
442149990737448.7,652042457952291.2,15.789910175275953,0.6360685256583523,-0.24817706123676675
542222100650159.2,799619673573454.0,16.901121521581516,0.6043750413706775,-0.25289512050435103
664943599666503.2,980598141375170.6,18.0905341142812,0.5737029053937497,-0.25770399879116623
815440739518518.6,1202537589615865.8,19.363651348348444,0.5440483006138547,-0.2626034958057606
1000000000000000.0,1474708745022858.0,20.72636391892919,0.5154062977683705,-0.267548286055038
