M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
100000000.0,181818181.8181818,0.1047408129390095,9.141681807673953,-0.09182296673912838
122633068.41775644,222969215.3050117,0.1121119238868944,8.971144872345695,-0.09277138578408728
150388694.6955407,273433990.35552853,0.12000177509544206,8.802085890608431,-0.09372473016653515
184426270.8585533,335320492.4700969,0.1284468727928096,8.634524461094976,-0.09469401845483372
226167594.92228645,411213808.9496117,0.13748629232467804,8.468458890628954,-0.09568118242125845
277356261.41984177,504284111.6724395,0.14716185895531567,8.303902958551966,-0.09668579668191146
340130493.8279246,618419079.6871356,0.1575183413924746,8.140858231423014,-0.09771010004349545
417112461.20565164,758386293.1011847,0.16860365893155882,7.97933229354246,-0.09875318983012793
511517809.92931455,930032381.6896627,0.18046910317751425,7.819331520138968,-0.09981650640016859
627289985.8196256,1140527246.9447737,0.1931695753703485,7.66086043023386,-0.10090096849255303
769264957.487913,1398663559.0689325,0.20676384041237894,7.503924265889831,-0.10200692907024411
943373221.6299773,1715224039.3272314,0.22131479877259222,7.348528331488944,-0.10313506963200414
1156887528.3162832,2103431869.6659694,0.23688977752620877,7.194677661365245,-0.1042861684788372
1418726674.116599,2579503043.848362,0.2535608418760934,7.042377150397116,-0.10546096659639304
1739828052.9303622,3163323732.6006584,0.2714051285974126,6.891631637671958,-0.1066601927237647
2133604526.501411,3879280957.2752924,0.2905052029483862,6.742445946415227,-0.10788456058969143
2616504698.7488236,4757281270.452406,0.3109494406985484,6.5948249629623,-0.10913479536132531
3208699997.370444,5833999995.218988,0.3328324370421644,6.448773595905452,-0.11041172303828972
3934927263.095845,7154413205.628809,0.3562554442888362,6.304296620000444,-0.11171612679593679
4825522042.741279,8773676441.347778,0.38132684035648134,6.1613990224197765,-0.11304881012731549
5917685748.18883,10759428633.0706,0.4081626302344036,6.020085680368306,-0.11441063189089284
7257039612.324202,13194617476.953093,0.43688698273671006,5.88036160802449,-0.11580243542378366
8899530352.885223,16180964277.973131,0.467632805029632,5.742231824447058,-0.11722512228054249
10913767146.51274,19843212993.659523,0.5005423575910697,5.605701410164157,-0.11867959783121407
13383887531.73759,24334340966.795616,0.5357679124477813,5.470775512365971,-0.12016679431530619
16413071953.751266,29841949006.82048,0.5734724577358614,5.337459343128029,-0.12168768038777955
20127853758.499386,36596097742.72615,0.6138304518445068,5.205758164584611,-0.12324323893285438
24683404670.686512,44878917583.06638,0.6570286306324723,5.075677335908202,-0.12483449050317708
30270016537.634556,55036393704.7901,0.7032668714522073,4.947222248402828,-0.1264624840955184
37121050090.663574,67492818346.66104,0.7527591179794965,4.820398390688288,-0.128128278523866
45522682755.0731,82768514100.1329,0.8057343701277669,4.695211322281018,-0.12983298677880795
55825862688.62701,101501568524.77637,0.8624377436274007,4.571666647333699,-0.13157776389582043
68460968385.74672,124474487974.08493,0.9231316041726958,4.449770016965425,-0.13336379109668162
83955786199.95103,152646883999.91095,0.9880967813841619,4.329527134257425,-0.13519226832147835
102957556731.25127,187195557693.1841,1.0576338682031436,4.21094376691217,-0.13706441988252926
126260010987.48578,229563656340.8832,1.1320646117310331,4.094025738046546,-0.13898151281286708
154836525658.5496,281520955742.81744,1.2117334019484869,3.9787789049454756,-0.14094485858149453
189880782446.52612,345237786266.41113,1.2970088652029235,3.8652091481466555,-0.14295580236865835
232856629849.81964,423375690636.0357,1.3882855698373247,3.753322368235909,-0.1450157126700491
285559230199.01117,519198600361.83844,1.4859858518522955,3.643124488583087,-0.14712599478818733
350190046143.172,636709174805.7672,1.5905617690486673,3.5346214277767096,-0.14928809348392846
429448798878.92725,780815997961.6858,1.702497192692444,3.427819096062609,-0.15150350829004067
526646239348.4281,957538616997.142,1.822310046380204,3.3227233463666233,-0.15377377523871916
645842443019.6991,1174258987308.5437,1.9505547024641268,3.2193399955406106,-0.15610042743041141
792016405019.254,1440029827307.7344,2.0878245471249044,3.117674824768343,-0.1584850318875386
971274019847.1168,1765952763358.394,2.2347547259610816,3.0177335420568276,-0.16092918636885
1191103133283.008,2165642060514.5598,2.392025082798595,2.9195217816645402,-0.16343453687500853
1460686320364.9858,2655793309754.5195,2.5603633053183943,2.8230450430870127,-0.16600278577579575
