k_Mpc^-1,P_Mpc^3,Delta2,lambda_Mpc,source
0.0001,2016.5721437391976,1.0216073825191102e-10,62831.85307179586,CLASS
0.00010121741408244667,2040.2309263229038,1.0718038147685087e-10,62076.12952907112,CLASS
0.00010244964913537472,2064.1666135751434,1.1244662746853455e-10,61329.495612787534,CLASS
0.00010369688559136586,2088.3824233975192,1.1797158857896462e-10,60591.841995520306,CLASS
0.00010495930607961376,2112.8816106358972,1.2376797190895347e-10,59863.06066480339,CLASS
0.00010623709545266527,2137.6674674970304,1.2984910850135474e-10,59143.044907314004,CLASS
0.00010753044081348831,2162.7433239698576,1.3622898396663506e-10,58431.68929324654,CLASS
0.0001088395315428687,2188.1125482513758,1.429222706110114e-10,57728.88966087496,CLASS
0.00011016455932714056,2213.7785471772245,1.4994436114084402e-10,57034.54310130061,CLASS
0.00011150571818625436,2239.7447666569897,1.573114040205765e-10,56348.5479433837,CLASS
0.00011286320450218712,2266.0146917237075,1.6504034053686001e-10,55670.803738855626,CLASS
0.00011423721704769732,2292.5918422917025,1.7314894335155272e-10,55001.211247610976,CLASS
0.00011562795701543115,2319.47977488729,1.8165585735192642e-10,54339.67242317585,CLASS
0.00011703562804738238,2346.6820863989965,1.90580642681345e-10,53686.090398351276,CLASS
0.00011846043626471099,2374.20241459296,1.999438196506397e-10,53040.36947102928,CLASS
0.00011990259029792533,2402.044438564834,2.0976691584664035e-10,52402.41509017928,CLASS
0.0001213623013174306,2430.211879196416,2.200725155505329e-10,51772.1338420036,CLASS
0.00012283978306445035,2458.708499617219,2.3088431157924209e-10,51149.4334362589,CLASS
0.0001243352518823239,2487.538105670871,2.422271596685309e-10,50534.222692742485,CLASS
0.00012584892674818486,2516.7045463864956,2.5412713552235446e-10,49926.411527941054,CLASS
0.0001273810293050251,2546.211714455049,2.6661159465908045e-10,49325.910941840055,CLASS
0.00012893178389415,2576.063546710746,2.7970923519160477e-10,48732.63300489145,CLASS
