k_Mpc^-1,P_Mpc^3,Delta2,lambda_Mpc,source
0.0001,6512.5327745931445,3.2992876461564784e-10,62831.85307179586,AXICLASS
0.00010121741408244667,6583.710806574884,3.4586508158355433e-10,62076.12952907112,AXICLASS
0.00010244964913537472,6655.663484757148,3.6257098022245993e-10,61329.495612787534,AXICLASS
0.00010369688559136586,6728.399135203058,3.8008361192865e-10,60591.841995520306,AXICLASS
0.00010495930607961376,6801.9261715559005,3.984419207825553e-10,59863.06066480339,AXICLASS
0.00010623709545266527,6876.253095930589,4.176867300047021e-10,59143.044907314004,AXICLASS
0.00010753044081348831,6951.388493789967,4.378608321990424e-10,58431.68929324654,AXICLASS
0.0001088395315428687,7027.341014456052,4.590090829407206e-10,57728.88966087496,AXICLASS
0.00011016455932714056,7104.119389936727,4.811785012329278e-10,57034.54310130061,AXICLASS
0.00011150571818625436,7181.73244260261,5.044183742115477e-10,56348.5479433837,AXICLASS
0.00011286320450218712,7260.189086074996,5.287803664751834e-10,55670.803738855626,AXICLASS
0.00011423721704769732,7339.49832612184,5.543186346803682e-10,55001.211247610976,AXICLASS
0.00011562795701543115,7419.669261561755,5.810899476552796e-10,54339.67242317585,AXICLASS
0.00011703562804738238,7500.711085176276,6.091538122974077e-10,53686.090398351276,AXICLASS
0.00011846043626471099,7582.633084630153,6.385726055333785e-10,53040.36947102928,AXICLASS
0.00011990259029792533,7665.444643400175,6.694117126325613e-10,52402.41509017928,AXICLASS
0.0001213623013174306,7749.15524171205,7.017396721799729e-10,51772.1338420036,AXICLASS
0.00012283978306445035,7833.774457485946,7.356283280288322e-10,51149.4334362589,AXICLASS
0.0001243352518823239,7919.311967290452,7.711529885683612e-10,50534.222692742485,AXICLASS
0.00012584892674818486,8005.7775473048205,8.08392593658594e-10,49926.411527941054,AXICLASS
0.0001273810293050251,8093.1810742902935,8.474298896009253e-10,49325.910941840055,AXICLASS
0.00012893178389415,8181.532526569647,8.883516125306955e-10,48732.63300489145,AXICLASS
0.00013050141758802708,8270.841985015717,9.312486806367545e-10,48146.49084513884,AXICLASS
0.00013209016022353622,8361.11963404869,9.76216395632405e-10,47567.398635496764,AXICLASS
0.00013369824443562392,8452.37576264221,1.0233546539224146e-09,46995.271581183384,AXICLASS
0.00013532590569136703,8544.62075538974,1.072768166683155e-09,46430.025907304276,AXICLASS
0.00013697338232445224,8637.865055956692,1.12456668672007e-09,45871.57884658532,AXICLASS
0.00013864091557007363,8732.119199214118,1.1788652546480733e-09,45319.84862725362,AXICLASS
0.00014032874960025668,8827.393825523086,1.2357844550741641e-09,44774.75446106372,AXICLASS
0.00014203713155961153,8923.699681702332,1.2954506834649329e-09,44236.216531468024,AXICLASS
0.0001437663116015214,9021.047622001797,1.3579964258418872e-09,43704.1559819296,AXICLASS
0.00014551654292477246,9119.448609083518,1.4235605519204021e-09,43178.49490437522,AXICLASS
0.00014728808181062818,9218.913715010201,1.4922886223373521e-09,42659.1563277878,AXICLASS
0.00014908118766035632,9319.454122241383,1.5643332106434902e-09,42146.06420693555,AXICLASS
0.00015089612303321225,9421.081124637109,1.6398542407688428e-09,41639.14341123699,AXICLASS
0.00015273315368488462,9523.806128469476,1.7190193407034725e-09,41138.319713759745,AXICLASS
0.00015459254860640913,9627.640653441547,1.8020042131713326e-09,40643.519780351795,AXICLASS
0.00015647458006355676,9732.596333714398,1.888993024112414e-09,40154.67115890316,AXICLASS
0.00015837952363669978,9838.68491894172,1.9801788098270596e-09,39671.702268737245,AXICLASS
0.00016030765826116492,9945.918275312122,2.075763903677525e-09,39194.542390129274,AXICLASS
0.0001622592662680768,10054.308386599481,2.1759603832845233e-09,38723.12165395112,AXICLASS
0.000164234633425699,10163.867355221222,2.2809905392014294e-09,38257.3710314405,AXICLASS
0.00016623404898127796,10274.60740330423,2.391087366095701e-09,37797.222324093345,AXICLASS
0.0001682578057033973,10386.540873758962,2.5064950775166206e-09,37342.608153677604,AXICLASS
0.00017030619992484621,10499.680215327864,2.6274696413674274e-09,36893.46195236738,AXICLASS
0.00017237953158601106,10614.037916263367,2.754279327056521e-09,36449.717952995525,AXICLASS
0.00017447810427879474,10729.62655792491,2.887205308095375e-09,36011.31117942354,AXICLASS
0.0001766022252910706,10846.45884122271,3.026542288246328e-09,35578.177437027334,AXICLASS
0.00017875220565167826,10964.547587593393,3.1725991514762967e-09,35150.25330329732,AXICLASS
0.0001809283601759658,11083.905739969505,3.3256996430629533e-09,34727.47611855177,AXICLASS
0.00018313100751188785,11204.546363754227,3.486183083345937e-09,34309.783976761646,AXICLASS
0.00018536047018666402,11326.482647801005,3.654405115683579e-09,33897.1157164859,AXICLASS
0.00018761707465400564,11449.727905398302,3.830738490250312e-09,33489.410911915846,AXICLASS
0.00018990115134191797,11574.295575259377,4.0155738853877974e-09,33086.60986402699,AXICLASS
0.00019221303470108283,11700.199222516696,4.209320768304107e-09,32688.653591837756,AXICLASS
0.0001945530632538319,11827.452539721788,4.412408297001584e-09,32295.48382377286,AXICLASS
0.0001969215796437154,11956.069347849616,4.6252862654026096e-09,31907.042989130874,AXICLASS
0.0001993189306856742,12086.063597308004,4.84842609373701e-09,31523.274209654297,AXICLASS
0.00020174546741682373,12217.449368951933,5.082321866352951e-09,31144.121291200943,AXICLASS
0.00020420154514785396,12350.24087510255,5.327491419215686e-09,30769.52871551579,AXICLASS
0.00020668752351505763,12484.45246057123,5.584477479467219e-09,30399.44163210143,AXICLASS
0.0002092037665329902,12620.098603688093,5.853848859531801e-09,30033.80585018657,AXICLASS
0.00021175064264777167,12757.19391733564,6.136201708371468e-09,29672.56783079098,AXICLASS
0.00021432852479103673,12895.75312597855,6.432160810644011e-09,29315.674678886004,AXICLASS
0.000216937790434543,13035.790954475819,6.742380900309352e-09,28963.074135649145,AXICLASS
0.00021957882164544174,13177.322211115856,7.067548131010048e-09,28614.71457081216,AXICLASS
0.0002222520051422238,13320.361833692472,7.408381603055026e-09,28270.544975100864,AXICLASS
0.0002249577323513453,13464.924890362587,7.76563494134442e-09,27930.51495276602,AXICLASS
0.00022769639946454325,13611.0265804592,8.140097948605151e-09,27594.574714204035,AXICLASS
0.0002304684074968484,13758.682235303924,8.532598337541634e-09,27262.67506866644,AXICLASS
