M_h_inv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM,window_type
100000000.0,181818181.8181818,0.1047408129390095,6.62220739563655,-0.07361591219223507,Top-hat
122633068.41775644,222969215.3050117,0.1121119238868944,6.523487717446483,-0.0740844358061965,Top-hat
150388694.6955407,273433990.35552853,0.12000177509544206,6.425011222679916,-0.07502793563842491,Top-hat
184426270.8585533,335320492.4700969,0.1284468727928096,6.326794947998433,-0.07598768972654213,Top-hat
226167594.92228645,411213808.9496117,0.13748629232467804,6.2288477796415105,-0.07696503963676538,Top-hat
277356261.41984177,504284111.6724395,0.14716185895531567,6.13118449871719,-0.07796006023189861,Top-hat
340130493.8279246,618419079.6871356,0.1575183413924746,6.033815284990222,-0.07897422170196844,Top-hat
417112461.20565164,758386293.1011847,0.16860365893155882,5.936752630617552,-0.08000737720835449,Top-hat
511517809.92931455,930032381.6896627,0.18046910317751425,5.8400086222670256,-0.08106057582283555,Top-hat
627289985.8196256,1140527246.9447737,0.1931695753703485,5.743594725663616,-0.08213460133125938,Top-hat
769264957.487913,1398663559.0689325,0.20676384041237894,5.647522753512594,-0.08322995974915948,Top-hat
943373221.6299773,1715224039.3272314,0.22131479877259222,5.551804632096189,-0.08434732380626375,Top-hat
1156887528.3162832,2103431869.6659694,0.23688977752620877,5.45645229195434,-0.08548741790817438,Top-hat
1418726674.116599,2579503043.848362,0.2535608418760934,5.361477723919596,-0.08665095492519637,Top-hat
1739828052.9303622,3163323732.6006584,0.2714051285974126,5.266893017049825,-0.08783864938935526,Top-hat
2133604526.501411,3879280957.2752924,0.2905052029483862,5.172710380337692,-0.08905121731909293,Top-hat
2616504698.7488236,4757281270.452406,0.3109494406985484,5.078942177504239,-0.09028939203810715,Top-hat
3208699997.370444,5833999995.218988,0.3328324370421644,4.985600913383324,-0.09155396011096695,Top-hat
3934927263.095845,7154413205.628809,0.3562554442888362,4.892699196191285,-0.09284572367912336,Top-hat
4825522042.741279,8773676441.347778,0.38132684035648134,4.800249805240935,-0.09416548124635904,Top-hat
5917685748.18883,10759428633.0706,0.4081626302344036,4.708265691314475,-0.09551371709221179,Top-hat
7257039612.324202,13194617476.953093,0.43688698273671006,4.616760623027278,-0.09689188893614942,Top-hat
8899530352.885223,16180964277.973131,0.467632805029632,4.525746747383211,-0.09830077970083728,Top-hat
10913767146.51274,19843212993.659523,0.5005423575910697,4.43523837054839,-0.0997404862730269,Top-hat
13383887531.73759,24334340966.795616,0.5357679124477813,4.34524950483483,-0.10126996474722683,Top-hat
16413071953.751266,29841949006.82048,0.5734724577358614,4.255693968109115,-0.10277791327638042,Top-hat
20127853758.499386,36596097742.72615,0.6138304518445068,4.16678326589346,-0.10426282439232137,Top-hat
24683404670.686512,44878917583.06638,0.6570286306324723,4.07843395227284,-0.10583796950742252,Top-hat
30270016537.634556,55036393704.7901,0.7032668714522073,3.990660804405237,-0.1074493548314095,Top-hat
37121050090.663574,67492818346.66104,0.7527591179794965,3.903478357060855,-0.10909821474415526,Top-hat
45522682755.0731,82768514100.1329,0.8057343701277669,3.816901518102533,-0.11078534486570568,Top-hat
55825862688.62701,101501568524.77637,0.8624377436274007,3.730945712355623,-0.11251144142278324,Top-hat
68460968385.74672,124474487974.08493,0.9231316041726958,3.6456268837201824,-0.11427880441775429,Top-hat
83955786199.95103,152646883999.91095,0.9880967813841619,3.5609591349395244,-0.11608821319560914,Top-hat
102957556731.25127,187195557693.1841,1.0576338682031436,3.476959431387587,-0.11793989300900165,Top-hat
126260010987.48578,229563656340.8832,1.1320646117310331,3.3936437440950313,-0.1198364211965286,Top-hat
154836525658.5496,281520955742.81744,1.2117334019484869,3.311027511156275,-0.12177833652134584,Top-hat
189880782446.52612,345237786266.41113,1.2970088652029235,3.2291281323597243,-0.12376694446542214,Top-hat
232856629849.81964,423375690636.0357,1.3882855698373247,3.147961460100148,-0.12580398298385775,Top-hat
285559230199.01117,519198600361.83844,1.4859858518522955,3.0675447110198606,-0.12789032893020247,Top-hat
350190046143.172,636709174805.7672,1.5905617690486673,2.987894768056289,-0.13002830231242335,Top-hat
429448798878.92725,780815997961.6858,1.702497192692444,2.909028065524788,-0.13221824560099105,Top-hat
526646239348.4281,957538616997.142,1.822310046380204,2.8309631501353754,-0.1344616150532847,Top-hat
645842443019.6991,1174258987308.5437,1.9505547024641268,2.7537167773862334,-0.1367615339567685,Top-hat
792016405019.254,1440029827307.7344,2.0878245471249044,2.6773059003030006,-0.13911800784790884,Top-hat
971274019847.1168,1765952763358.394,2.2347547259610816,2.6017493001162113,-0.1415326446073859,Top-hat
1191103133283.008,2165642060514.5598,2.392025082798595,2.5270641145555603,-0.14400804816415214,Top-hat
1460686320364.9858,2655793309754.5195,2.5603633053183943,2.4532682191456687,-0.1465451603777037,Top-hat
1791284454622.0022,3256880826585.4585,2.7405482920568947,2.38037966860169,-0.14914561425739725,Top-hat
2196707090793.235,3994012892351.3364,2.933413756358292,2.308416471186281,-0.15181125213611435,Top-hat
2693889309590.164,4897980562891.207,3.1398520839542323,2.2373965924822765,-0.15454382351585694,Top-hat
3303599120128.346,6006543854778.811,3.360818462019787,2.167338029318535,-0.15734611037875457,Top-hat
4051304969235.378,7366009034973.414,3.5973352988107385,2.0982578254822615,-0.16021740430083442,Top-hat
4968239594734.388,9033162899517.068,3.8504969543319447,2.030176020134701,-0.16316031263610653,Top-hat
6092704661368.687,11077644838852.156,4.1214748039253095,1.9631087812272703,-0.1661793203984019,Top-hat
7471670675868.066,13584855774305.574,4.411522658206669,1.8970736590792956,-0.1692727944929624,Top-hat
9162739011886.73,16659525476157.69,4.721982564429515,1.8320893716907547,-0.17244374312693922,Top-hat
11236548001387.516,20430087275250.027,5.054291016118311,1.7681721393122776,-0.17569436339475053,Top-hat
13779723598335.54,25054042906064.613,5.409985599703405,1.7053398682750516,-0.17902587444800622,Top-hat
16898497868124.621,30724541578408.4,5.790712108911378,1.6436087282266414,-0.18244063930408938,Top-hat
20723146452190.297,37678448094891.445,6.198232159828877,1.582995545568989,-0.1859387123446603,Top-hat
25413430367026.39,46206237030957.07,6.6344313418750485,1.5235168949288875,-0.18952409951225957,Top-hat
31165269449294.367,56664126271444.3,7.101327942396587,1.465187292897696,-0.1931987572753987,Top-hat
38218926206331.15,69488956738783.9,7.60108228525432,1.4080222580833268,-0.19696047236462877,Top-hat
46869041923141.92,85216439860258.03,8.136006726610693,1.3520375581392319,-0.20081369039092956,Top-hat
57476944248353.586,104503534997006.52,8.70857635416845,1.2972458318161966,-0.20476107468163873,Top-hat
70485740364518.89,128155891571852.52,9.321440439365881,1.2436609077515823,-0.2088003692017109,Top-hat
86438826205982.61,157161502192695.66,9.977434695517745,1.1912960090578077,-0.21293584256844122,Top-hat
106002584880688.25,192731972510342.25,10.67959439861994,1.1401618819133787,-0.21716864748316067,Top-hat
129994222441324.22,236353131711498.56,11.431168431527963,1.090270104467702,-0.22149790820949372,Top-hat
159415903745600.28,289847097719273.2,12.235634316491243,1.0416305855030987,-0.2259259720430744,Top-hat
195496614309125.94,355448389652956.25,13.096714305598457,0.9942522666227602,-0.2304501127443812,Top-hat
239743496780107.84,435897266872923.3,14.018392603584662,0.9481443537781417,-0.2350790898571411,Top-hat
294004806433471.4,534554193515402.44,15.004933802689171,0.9033103871118343,-0.23980862661747662,Top-hat
360547115425049.9,655540209863727.0,16.06090261486263,0.8597590022249995,-0.2446311927777406,Top-hat
442149990737448.7,803909074068088.5,17.191184992623665,0.8174941262529823,-0.2495588941085669,Top-hat
542222100650159.2,985858364818471.1,18.40101073629085,0.7765172450209253,-0.2545868904245451,Top-hat
664943599666503.2,1208988363030005.8,19.695977692193694,0.7368311485328399,-0.25971457210701,Top-hat
815440739518518.6,1482619526397306.5,21.082077653827252,0.6984345870473967,-0.2649408372863463,Top-hat
1000000000000000.0,1818181818181818.0,22.565724085794237,0.6613272771289356,-0.2675764065445647,Top-hat
