M_h_inv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM,window_type
100000000.0,147470874.50228578,0.09620325932749654,5.033452765756208,-0.0800974406547359,Top-hat
122633068.41775644,180848058.42465186,0.10297354187689822,4.951864540528166,-0.08055592715195692,Top-hat
150388694.6955407,221779523.22008654,0.11022028152473021,4.8706874682251415,-0.08148150016239786,Top-hat
184426270.8585533,271975034.4470628,0.11797700883120034,4.789928122110524,-0.08242307930943404,Top-hat
226167594.92228645,333531330.07268316,0.1262796140620835,4.709595869855572,-0.08338054132598938,Top-hat
277356261.41984177,409019704.20268655,0.13516651325246615,4.629698378379309,-0.08435439494977937,Top-hat
340130493.8279246,501593413.69698364,0.14467882595718826,4.550244797903858,-0.08534580422196436,Top-hat
417112461.20565164,615119394.1979821,0.15486056551043342,4.471241474357829,-0.08635539696799288,Top-hat
511517809.92931455,754339787.5377002,0.1657588426747924,4.392697265771908,-0.08738329983697968,Top-hat
627289985.8196256,925070027.7534664,0.17742408362208545,4.314619252041912,-0.08843096741447498,Top-hat
769264957.487913,1134441760.0470624,0.18991026325453408,4.237014625068803,-0.08949875663427376,Top-hat
943373221.6299773,1391200739.7581143,0.20327515494585915,4.1598908726734525,-0.09058720796288666,Top-hat
1156887528.3162832,1706072155.015902,0.21758059785784914,4.083255294078076,-0.09169711557426785,Top-hat
1418726674.116599,2092208633.116943,0.23289278306927416,4.007115089303939,-0.09282919853642912,Top-hat
1739828052.9303622,2565739644.492497,0.24928255984105555,3.9314774569649096,-0.09398413741474787,Top-hat
2133604526.501411,3146445253.6519847,0.26682576343477926,3.8563496093421956,-0.09516263270805991,Top-hat
2616504698.7488236,3858582360.6382885,0.28560356600135967,3.781738768497669,-0.0963654105471008,Top-hat
3208699997.370444,4731897946.277015,0.30570285216341586,3.707652173063526,-0.0975931871039748,Top-hat
3934927263.095845,5802871645.916303,0.32721662102917337,3.6340971289170496,-0.09884668555915033,Top-hat
4825522042.741279,7116239555.731129,0.3502444164979991,3.5610809872598823,-0.10012668682016601,Top-hat
5917685748.18883,8726862923.151201,0.3748927878485946,3.488611119758523,-0.10143407684755967,Top-hat
7257039612.324202,10702019779.271791,0.40127578274097647,3.4166948374698998,-0.10276970302882482,Top-hat
8899530352.885223,13124215237.996199,0.42951547491336245,3.345339575698727,-0.10413363847252644,Top-hat
10913767146.51274,16094627852.1055,0.45974252901560086,3.274553790880225,-0.10552770143509749,Top-hat
13383887531.73759,19737335985.45582,0.4920968051926293,3.204343729843772,-0.10695291019093345,Top-hat
16413071953.751266,24204500742.8864,0.5267280062153545,3.134717790516862,-0.10840882746387237,Top-hat
20127853758.499386,29682721956.20024,0.5637963701532248,3.065684130278213,-0.10989747214794754,Top-hat
24683404670.686512,36400832724.79945,0.6034734117934699,2.997249850936587,-0.11141955517891944,Top-hat
30270016537.634556,44639458100.03621,0.6459427162375593,2.9294235467024072,-0.11297581991979255,Top-hat
37121050090.663574,54742737193.133125,0.6914007883468306,2.8622127756866287,-0.11456746067134205,Top-hat
45522682755.0731,67132698355.80754,0.7400579619676539,2.79562601889356,-0.1161951696464012,Top-hat
55825862688.62701,82326887905.36353,0.7921393731431204,2.729671383445786,-0.11786076879833374,Top-hat
68460968385.74672,100959988771.19409,0.8478860018142761,2.66435662764989,-0.11956469316498985,Top-hat
83955786199.95103,123810332104.33716,0.9075557868308458,2.5996907387976735,-0.12130737744936582,Top-hat
102957556731.25127,151832409277.76324,0.9714248194305884,2.5356823364079872,-0.1230914611277445,Top-hat
126260010987.48578,186196742349.9274,1.0397886207094793,2.472338946920075,-0.12491754665365917,Top-hat
154836525658.5496,228338778437.6192,1.1129635089935774,2.409669932353367,-0.12678598025282595,Top-hat
189880782446.52612,280018850385.67487,1.191288063439379,2.3476838306298835,-0.1286996947778456,Top-hat
232856629849.81964,343395708376.07965,1.2751246906347,2.2863884510531833,-0.13065817538973912,Top-hat
285559230199.01117,421116693996.4772,1.3648613014487565,2.225794143988787,-0.13266288498771872,Top-hat
350190046143.172,516428323467.2939,1.4609131058901792,2.165908668249132,-0.1347161147485807,Top-hat
429448798878.92725,633311899246.3165,1.5637245342777548,2.1067415157278,-0.13681916005550088,Top-hat
526646239348.4281,776649814700.5281,1.6737712936131324,2.0483006648921744,-0.1389736402881736,Top-hat
645842443019.6991,952429498628.077,1.7915625686702716,1.9905954798283345,-0.1411797139493809,Top-hat
792016405019.254,1167993518683.4597,1.9176433779860795,1.9336350787613372,-0.14343892517010137,Top-hat
971274019847.1168,1432346290882.048,2.052597095653357,1.8774287199428235,-0.1457541353857108,Top-hat
1191103133283.008,1756530206876.5786,2.197048150584326,1.8219844637736209,-0.1481258626572899,Top-hat
1460686320364.9858,2154086890377.5044,2.3516649157342417,1.7673123174361802,-0.1505553946486451,Top-hat
1791284454622.0022,2641622850054.5674,2.517162800653459,1.7134205310838564,-0.15304504224753823,Top-hat
2196707090793.235,3239503157046.505,2.694307561677125,1.6603184658507264,-0.15559886204829354,Top-hat
2693889309590.164,3972702122976.204,2.883918845068743,1.6080127377378541,-0.158213075013814,Top-hat
3303599120128.346,4871846512503.091,3.0868739795116706,1.5565161743800766,-0.16088817072186656,Top-hat
4051304969235.378,5974494866885.972,3.3041120354962894,1.5058359352640194,-0.16363223301651209,Top-hat
4968239594734.388,7326706377723.621,3.536638170385723,1.4559803733804888,-0.16644597957765206,Top-hat
6092704661368.687,8984964844961.932,3.785528279264463,1.4069572478498673,-0.16932779014361798,Top-hat
7471670675868.066,11018538085633.484,4.0519339730894846,1.3587766160496029,-0.17227962322147983,Top-hat
9162739011886.73,13512371349191.46,4.337087907177606,1.3114457647557038,-0.17530635465758193,Top-hat
11236548001387.516,16570635601515.285,4.6423094846839,1.26497259056483,-0.1784066254488068,Top-hat
13779723598335.54,20321078894463.26,4.969010961461137,1.2193656901400254,-0.18158320586168109,Top-hat
16898497868124.621,24920362583873.5,5.3187039805473555,1.1746319595520955,-0.18483804347526156,Top-hat
20723146452190.297,30560605297434.44,5.693006566516396,1.130779331839432,-0.18817191798307092,Top-hat
25413430367026.39,37477408003283.27,6.093650612054454,1.0878146187326514,-0.191587891029292,Top-hat
31165269449294.367,45959695397868.11,6.522489891402564,1.045744471899102,-0.19508441828576822,Top-hat
38218926206331.15,56361784701859.82,6.981508637743409,1.0045763938149816,-0.19866671360732707,Top-hat
46869041923141.92,69118185994900.336,7.472830724219762,0.964314768590652,-0.20233241797176696,Top-hat
57476944248353.586,84761752320238.28,7.998729491064943,0.924967749757412,-0.20608590364859303,Top-hat
70485740364518.89,103945937714966.66,8.56163826431544,0.8865378160327481,-0.20993365260125063,Top-hat
86438826205982.61,127472092915473.53,9.164161614775532,0.8490302396172184,-0.21386794829867034,Top-hat
106002584880688.25,156322938918578.75,9.80908740932892,0.8124499503445196,-0.21789207208341338,Top-hat
129994222441324.22,191703616636667.47,10.499399710358752,0.7768002804780909,-0.22200844385110952,Top-hat
159415903745600.28,235092027349358.9,11.238292582961451,0.7420844784924719,-0.22621840498077705,Top-hat
195496614309125.94,288300566744028.8,12.029184873839851,0.708304557330057,-0.23052348515991872,Top-hat
239743496780107.84,353551831263984.44,12.87573603025797,0.6754622537492919,-0.23492286692191466,Top-hat
