k_Mpc^-1,P_Mpc^3,Delta2,lambda_Mpc,source
0.0001,2015.5180519939972,1.0210733734026538e-10,62831.85307179586,AXICLASS
0.00010121741408244667,2039.153207057118,1.0712376515928527e-10,62076.12952907112,AXICLASS
0.00010244964913537472,2063.0645786554505,1.1238659350167496e-10,61329.495612787534,AXICLASS
0.00010369688559136586,2087.2553619334544,1.1790792148913844e-10,60591.841995520306,AXICLASS
0.00010495930607961376,2111.728788348749,1.2370044210712566e-10,59863.06066480339,AXICLASS
0.00010623709545266527,2136.488126074002,1.2977747133854653e-10,59143.044907314004,AXICLASS
0.00010753044081348831,2161.5366804031773,1.3615297872584813e-10,58431.68929324654,AXICLASS
0.0001088395315428687,2186.877794162027,1.4284161943141967e-10,57728.88966087496,AXICLASS
0.00011016455932714056,2212.514848123021,1.4985876786973818e-10,57034.54310130061,AXICLASS
0.00011150571818625436,2238.451261424636,1.5722055298824515e-10,56348.5479433837,AXICLASS
0.00011286320450218712,2264.690491944813,1.6494389527406193e-10,55670.803738855626,AXICLASS
0.00011423721704769732,2291.236032343827,1.730465452466962e-10,55001.211247610976,AXICLASS
0.00011562795701543115,2318.091406822844,1.8154712383598994e-10,54339.67242317585,AXICLASS
0.00011703562804738238,2345.2601782713464,1.9046516552899786e-10,53686.090398351276,AXICLASS
0.00011846043626471099,2372.745949467226,1.9982116321720454e-10,53040.36947102928,AXICLASS
0.00011990259029792533,2400.552363504957,2.0963661518338158e-10,52402.41509017928,AXICLASS
0.0001213623013174306,2428.6831042279982,2.1993407438995328e-10,51772.1338420036,AXICLASS
0.00012283978306445035,2457.141896665678,2.3073720018151404e-10,51149.4334362589,AXICLASS
0.0001243352518823239,2485.9325074743424,2.420708125195858e-10,50534.222692742485,AXICLASS
0.00012584892674818486,2515.0587453830067,2.5396094887352555e-10,49926.411527941054,AXICLASS
0.0001273810293050251,2544.5244616434247,2.664349238975148e-10,49325.910941840055,AXICLASS
0.00012893178389415,2574.333550484696,2.7952139202993635e-10,48732.63300489145,AXICLASS
0.00013050141758802708,2604.4899495723885,2.932504131580704e-10,48146.49084513884,AXICLASS
0.00013209016022353622,2634.997640472283,3.0765352149807117e-10,47567.398635496764,AXICLASS
0.00013369824443562392,2665.860649118718,3.227637978474657e-10,46995.271581183384,AXICLASS
0.00013532590569136703,2697.0830462875806,3.386159453751174e-10,46430.025907304276,AXICLASS
0.00013697338232445224,2728.6689480740934,3.552463691216765e-10,45871.57884658532,AXICLASS
0.00013864091557007363,2760.622516375258,3.7269325939192586e-10,45319.84862725362,AXICLASS
0.00014032874960025668,2792.947959377142,3.90996679229371e-10,44774.75446106372,AXICLASS
0.00014203713155961153,2825.6495319793025,4.101986561628283e-10,44236.216531468024,AXICLASS
0.0001437663116015214,2858.731528633581,4.3034327729936735e-10,43704.1559819296,AXICLASS
0.00014551654292477246,2892.1982763295655,4.51476788894227e-10,43178.49490437522,AXICLASS
0.00014728808181062818,2926.0541475835525,4.736477038148657e-10,42659.1563277878,AXICLASS
0.00014908118766035632,2960.303562528453,4.969069127555015e-10,42146.06420693555,AXICLASS
0.00015089612303321225,2994.9509893966538,5.213078006528812e-10,41639.14341123699,AXICLASS
0.00015273315368488462,3030.0009450071852,5.469063687937759e-10,41138.319713759745,AXICLASS
0.00015459254860640913,3065.457995257236,5.737613628920247e-10,40643.519780351795,AXICLASS
0.00015647458006355676,3101.3267556181177,6.01934407426511e-10,40154.67115890316,AXICLASS
0.00015837952363669978,3137.611891635542,6.314901465455598e-10,39671.702268737245,AXICLASS
0.00016030765826116492,3174.3181194344497,6.624963918582744e-10,39194.542390129274,AXICLASS
0.0001622592662680768,3211.4502062281986,6.950242774487759e-10,38723.12165395112,AXICLASS
0.000164234633425699,3249.0129708323916,7.291484224658214e-10,38257.3710314405,AXICLASS
0.00016623404898127796,3287.011284183135,7.649471016573089e-10,37797.222324093345,AXICLASS
0.0001682578057033973,3325.450069859909,8.0250242423728e-10,37342.608153677604,AXICLASS
0.00017030619992484621,3364.3343046130244,8.41900521491805e-10,36893.46195236738,AXICLASS
0.00017237953158601106,3403.6690188957086,8.832317435500094e-10,36449.717952995525,AXICLASS
0.00017447810427879474,3443.459297400843,9.26590865767172e-10,36011.31117942354,AXICLASS
0.0001766022252910706,3483.710279602405,9.720773051886262e-10,35578.177437027334,AXICLASS
0.00017875220565167826,3524.4271602166123,1.0197953475613933e-09,35150.25330329732,AXICLASS
0.0001809283601759658,3565.6151768243076,1.0698543815744389e-09,34727.47611855177,AXICLASS
0.00018313100751188785,3607.2795957097514,1.1223691433098483e-09,34309.783976761646,AXICLASS
0.00018536047018666402,3649.4257348706537,1.1774599837848028e-09,33897.1157164859,AXICLASS
0.00018761707465400564,3692.058967754349,1.2352531442587516e-09,33489.410911915846,AXICLASS
0.00018990115134191797,3735.1847237674788,1.295881044019735e-09,33086.60986402699,AXICLASS
0.00019221303470108283,3778.8084887891937,1.359482582201947e-09,32688.653591837756,AXICLASS
0.0001945530632538319,3822.9358056879596,1.4262034543170339e-09,32295.48382377286,AXICLASS
0.0001969215796437154,3867.572274842008,1.4961964842146104e-09,31907.042989130874,AXICLASS
0.0001993189306856742,3912.7235546631905,1.5696219722221102e-09,31523.274209654297,AXICLASS
0.00020174546741682373,3958.395362124536,1.6466480602506834e-09,31144.121291200943,AXICLASS
0.00020420154514785396,4004.593473291358,1.727451114691696e-09,30769.52871551579,AXICLASS
0.00020668752351505763,4051.32372385587,1.8122161279685934e-09,30399.44163210143,AXICLASS
0.0002092037665329902,4098.592009675531,1.9011371396506907e-09,30033.80585018657,AXICLASS
0.00021175064264777167,4146.404287314839,1.9944176780793137e-09,29672.56783079098,AXICLASS
0.00021432852479103673,4194.766574590769,2.0922712235028745e-09,29315.674678886004,AXICLASS
0.000216937790434543,4243.68495112189,2.1949216937657616e-09,28963.074135649145,AXICLASS
0.00021957882164544174,4293.165558880933,2.3026039536462294e-09,28614.71457081216,AXICLASS
0.0002222520051422238,4343.214602750982,2.4155643489919307e-09,28270.544975100864,AXICLASS
0.0002249577323513453,4393.838350989971,2.5340612668020646e-09,27930.51495276602,AXICLASS
0.00022769639946454325,4445.043115395835,2.658365710419057e-09,27594.574714204035,AXICLASS
0.0002304684074968484,4496.835225152339,2.7887618966792673e-09,27262.67506866644,AXICLASS
0.00023327416234530558,4549.221065139213,2.9255479205653274e-09,26934.767417056933,AXICLASS
0.00023611407484840682,4602.207082454414,3.069036434857901e-09,26610.803744815308,AXICLASS
0.00023898856084624999,4655.799786891664,3.2195553592713742e-09,26290.736614886715,AXICLASS
0.00024189804124142883,4710.005751419484,3.377448624025639e-09,25974.519160775628,AXICLASS
0.0002448429420606644,4764.831612661429,3.543076949519881e-09,25662.105079683326,AXICLASS
0.0002478236945171876,4820.284071377889,3.7168186638550924e-09,25353.44862572784,AXICLASS
0.0002508407350738795,4876.369892949033,3.899070560035329e-09,25048.504603245623,AXICLASS
0.0002538945055071816,4933.095907858959,4.0902487947665735e-09,24747.228360173638,AXICLASS
0.00025698545297178437,4990.469012181229,4.290789830864245e-09,24449.575781511052,AXICLASS
0.00026011403006610194,5048.496168065369,4.50115142537679e-09,24155.503282859678,AXICLASS
0.0002632806948985462,5107.1844042246275,4.721813665634964e-09,23864.96780404191,AXICLASS
0.0002664859111546045,5166.540816424695,4.953280055541785e-09,23577.92680279571,AXICLASS
0.000269730148164737,5226.572567973509,5.196078654530468e-09,23294.33824854516,AXICLASS
0.00027301388097309873,5287.286890211965,5.450763271733483e-09,23014.16061624609,AXICLASS
0.00027633759040709944,5348.691083005576,5.717914718028805e-09,22737.352880305654,AXICLASS
0.00027970176314780893,5410.792515237044,5.9981421187571666e-09,22463.87450857514,AXICLASS
0.000283106891801222,5473.598625205831,6.29208428993086e-09,22193.685456414827,AXICLASS
0.0002865534749703871,5537.116891301272,6.600411145650744e-09,21926.746160830542,AXICLASS
0.00029004201732841687,5601.3547878185655,6.923825149154951e-09,21663.017534680454,AXICLASS
0.0002935730296923854,5666.319844242409,7.263062956764786e-09,21402.460960951677,AXICLASS
0.0002971470290981258,5732.01965607493,7.618897088999127e-09,21145.038287105715,AXICLASS
0.000300764538875938,5798.4618851787145,7.992137670225318e-09,20890.71181949189,AXICLASS
0.0003044260887272194,5865.654260116982,8.383634252317921e-09,20639.444317827918,AXICLASS
0.0003081322148020262,5933.604576491,8.794277726360584e-09,20391.198989747016,AXICLASS
0.00031188345977758086,6002.320697274461,9.225002326619047e-09,20145.939485410443,AXICLASS
0.000315680372937735,6071.810553144772,9.676787731214735e-09,19903.629892184923,AXICLASS
0.0003195235102533988,6142.082142811148,1.0150661264139982e-08,19664.234729384054,AXICLASS
0.00032341343446395157,6213.143533339435,1.0647700203477369e-08,19427.718943072927,AXICLASS
0.00032735071515964013,6285.0028604733225,1.1169034200916468e-08,19194.04790093538,AXICLASS
0.00033133592886498345,6357.668328952179,1.1715847817906051e-08,18963.187387202823,AXICLASS
0.0003353696591231912,6431.148212825069,1.2289383184031869e-08,18735.103597644134,AXICLASS
0.00033945249658161,6505.450855760912,1.2890942783477646e-08,18509.763134615816,AXICLASS
0.00034358503907821125,6580.5846713548735,1.3521892375706217e-08,18287.13300217163,AXICLASS
0.0003477678917291293,6656.55814343044,1.4183664056787744e-08,18067.180601231168,AXICLASS
0.00035200166701726754,6733.37982633743,1.4877759468110547e-08,17849.87372480643,AXICLASS
0.0003562869848819828,6811.05834516943,1.5605753159353703e-08,17635.18055328583,AXICLASS
0.0003606244728098603,6889.602356838381,1.636929602025658e-08,17423.069649775,AXICLASS
0.00036501476592659655,6969.020483497985,1.717011879317084e-08,17213.509955493464,AXICLASS
0.0003694585070899967,7049.321395188918,1.801003610608779e-08,17006.47078522693,AXICLASS
0.0003739563469841075,7130.513826252246,1.889095055760119e-08,16801.921822834072,AXICLASS
0.0003785089442144951,7212.606575388622,1.9814856959895094e-08,16599.833116807415,AXICLASS
0.0003831169654046822,7295.6085057081755,2.078384678511307e-08,16400.175075887666,AXICLASS
0.0003877810852937615,7379.528544771011,2.1800112824786754e-08,16202.918464730668,AXICLASS
0.00039250198683519187,7464.375684617541,2.2865954072454288e-08,16008.034399626722,AXICLASS
0.00039728036129680646,7550.158981789271,2.3983780840084644e-08,15815.49434427101,AXICLASS
0.0004021169083620287,7636.887557339075,2.5156120119414022e-08,15625.270105585289,AXICLASS
0.0004070123362323272,7724.5705968312495,2.638562119983307e-08,15437.333829589563,AXICLASS
0.0004119673617309147,7813.217350330867,2.7675061555005307e-08,15251.657997323544,AXICLASS
