M_h_inv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM,window_type
100000000.0,147470874.50228578,0.09620325932749654,5.76242070351912,-0.08009442052765238,Top-hat
122633068.41775644,180848058.42465186,0.10297354187689822,5.669019986875838,-0.08055330648308168,Top-hat
150388694.6955407,221779523.22008654,0.11022028152473021,5.576088944798139,-0.08147963831034755,Top-hat
184426270.8585533,271975034.4470628,0.11797700883120034,5.483635238340696,-0.08242191292599443,Top-hat
226167594.92228645,333531330.07268316,0.1262796140620835,5.391669684121042,-0.08338002424518365,Top-hat
277356261.41984177,409019704.20268655,0.13516651325246615,5.300201147083467,-0.0843544908209628,Top-hat
340130493.8279246,501593413.69698364,0.14467882595718826,5.2092401663287164,-0.08534647981645005,Top-hat
417112461.20565164,615119394.1979821,0.15486056551043342,5.118794081444404,-0.08635662182165715,Top-hat
511517809.92931455,754339787.5377002,0.1657588426747924,5.028873085921365,-0.08738504705775174,Top-hat
627289985.8196256,925070027.7534664,0.17742408362208545,4.939485346865482,-0.08843320430527157,Top-hat
769264957.487913,1134441760.0470624,0.18991026325453408,4.850639157388461,-0.08950145114921515,Top-hat
943373221.6299773,1391200739.7581143,0.20327515494585915,4.762343144901176,-0.09059032967395364,Top-hat
1156887528.3162832,1706072155.015902,0.21758059785784914,4.674605716968317,-0.09170063795931283,Top-hat
1418726674.116599,2092208633.116943,0.23289278306927416,4.587435159178943,-0.09283310421372715,Top-hat
1739828052.9303622,2565739644.492497,0.24928255984105555,4.500839742622818,-0.09398842218500425,Top-hat
2133604526.501411,3146445253.6519847,0.26682576343477926,4.414827739906031,-0.09516730581573007,Top-hat
2616504698.7488236,3858582360.6382885,0.28560356600135967,4.329407423770046,-0.09637049038564749,Top-hat
3208699997.370444,4731897946.277015,0.30570285216341586,4.24458708160229,-0.09759869358207007,Top-hat
3934927263.095845,5802871645.916303,0.32721662102917337,4.160375081327684,-0.09885263199220162,Top-hat
4825522042.741279,7116239555.731129,0.3502444164979991,4.076779852275101,-0.1001330754560299,Top-hat
5917685748.18883,8726862923.151201,0.3748927878485946,3.9938098569918536,-0.1014409008808328,Top-hat
7257039612.324202,10702019779.271791,0.40127578274097647,3.911473493048919,-0.1027769537731924,Top-hat
8899530352.885223,13124215237.996199,0.42951547491336245,3.8297792972102043,-0.10414131596013831,Top-hat
10913767146.51274,16094627852.1055,0.45974252901560086,3.7487369629755407,-0.10553581199444562,Top-hat
13383887531.73759,19737335985.45582,0.4920968051926293,3.6683536560806185,-0.10696146687980113,Top-hat
16413071953.751266,24204500742.8864,0.5267280062153545,3.5886389932585625,-0.1084178511696936,Top-hat
20127853758.499386,29682721956.20024,0.5637963701532248,3.5096023168531585,-0.10990698351850137,Top-hat
24683404670.686512,36400832724.79945,0.6034734117934699,3.431251761948597,-0.1114295820002158,Top-hat
30270016537.634556,44639458100.03621,0.6459427162375593,3.353597162924957,-0.11298640267953797,Top-hat
37121050090.663574,54742737193.133125,0.6914007883468306,3.2766471625625915,-0.11457865425841707,Top-hat
45522682755.0731,67132698355.80754,0.7400579619676539,3.20041145068662,-0.11620704211772015,Top-hat
55825862688.62701,82326887905.36353,0.7921393731431204,3.124899287176696,-0.11787339280825915,Top-hat
68460968385.74672,100959988771.19409,0.8478860018142761,3.0501195357649724,-0.11957814006250223,Top-hat
83955786199.95103,123810332104.33716,0.9075557868308458,2.9760824729362936,-0.12132171243754097,Top-hat
