M_h_inv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM,window_type
100000000.0,147470874.50228578,0.09620325932749654,5.493646958362643,-0.08011098242723812,Top-hat
122633068.41775644,180848058.42465186,0.10297354187689822,5.404584422770144,-0.08056998939159499,Top-hat
150388694.6955407,221779523.22008654,0.11022028152473021,5.315969991258657,-0.08149656770393143,Top-hat
184426270.8585533,271975034.4470628,0.11797700883120034,5.227810966465658,-0.08243909381185333,Top-hat
226167594.92228645,333531330.07268316,0.1262796140620835,5.1401176680072815,-0.08339745578083635,Top-hat
277356261.41984177,409019704.20268655,0.13516651325246615,5.052898558642766,-0.08437216780685208,Top-hat
340130493.8279246,501593413.69698364,0.14467882595718826,4.96616370163876,-0.08536439452808198,Top-hat
417112461.20565164,615119394.1979821,0.15486056551043342,4.879920109407287,-0.08637476498647967,Top-hat
511517809.92931455,754339787.5377002,0.1657588426747924,4.794177517130254,-0.08740340898677346,Top-hat
627289985.8196256,925070027.7534664,0.17742408362208545,4.7089437251479636,-0.08845177770955326,Top-hat
769264957.487913,1134441760.0470624,0.18991026325453408,4.624226650507576,-0.08952023219299798,Top-hat
943373221.6299773,1391200739.7581143,0.20327515494585915,4.540034524407151,-0.09060931876330525,Top-hat
1156887528.3162832,1706072155.015902,0.21758059785784914,4.4563753641780535,-0.09171983825956298,Top-hat
1418726674.116599,2092208633.116943,0.23289278306927416,4.373257069693082,-0.09285251759193258,Top-hat
1739828052.9303622,2565739644.492497,0.24928255984105555,4.2906875303392304,-0.09400804459122014,Top-hat
2133604526.501411,3146445253.6519847,0.26682576343477926,4.208674643559353,-0.09518669085362053,Top-hat
2616504698.7488236,3858582360.6382885,0.28560356600135967,4.127227044337943,-0.09639003642370136,Top-hat
3208699997.370444,4731897946.277015,0.30570285216341586,4.0463512043900325,-0.09761881570289033,Top-hat
3934927263.095845,5802871645.916303,0.32721662102917337,3.96605583222511,-0.09887290164839557,Top-hat
4825522042.741279,7116239555.731129,0.3502444164979991,3.886348968237303,-0.1001534923515548,Top-hat
5917685748.18883,8726862923.151201,0.3748927878485946,3.8072386753417056,-0.10146147264991301,Top-hat
7257039612.324202,10702019779.271791,0.40127578274097647,3.7287329508943707,-0.10279768833067138,Top-hat
8899530352.885223,13124215237.996199,0.42951547491336245,3.6508399285515254,-0.10416221328905895,Top-hat
10913767146.51274,16094627852.1055,0.45974252901560086,3.573568853178306,-0.10555686220786598,Top-hat
13383887531.73759,19737335985.45582,0.4920968051926293,3.4969265652013966,-0.10698265153703179,Top-hat
16413071953.751266,24204500742.8864,0.5267280062153545,3.420922246610254,-0.1084391455510163,Top-hat
20127853758.499386,29682721956.20024,0.5637963701532248,3.3455648186365226,-0.10992835859711914,Top-hat
24683404670.686512,36400832724.79945,0.6034734117934699,3.2708620531306565,-0.11145099913390766,Top-hat
